Batch size: 256
Timestamp: 2025-09-05T10:57:51.762Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0xcaafc97b8524fac8bd2dddcae208dd8698464c321c012d848b8dbdc3fe0ff2, ACCEPTED_ON_L2, 1891477
0x34d3336e9e1cde3b3ce85f8a393e323acf37dd84b3614ea5aef5b04ecc046a, ACCEPTED_ON_L2, 1891477
0x23b69d1acfc7666c2483bfded56a1cc58554cd2ee0149ac47d20bacefed6623, ACCEPTED_ON_L2, 1891477
0x6954befa7b23a9806899ee8b64b9b9108f089db3979d37ff6fc5aa4a3eb346d, ACCEPTED_ON_L2, 1891478
0x7693d0ec3690ff0f1db24e0b4832b3366feeae3cc3edf8ec57fe7ccad343c7c, ACCEPTED_ON_L2, 1891478
0x4d8dd73d1b0b23402e6dead67edc606e77d981a63e9f91df4f4447186276a8, ACCEPTED_ON_L2, 1891478
0x79fb99439a1a470ed1917beb52fb543edebf902267f7110c0bb078679924e8a, ACCEPTED_ON_L2, 1891478
0x20606717febcb38bfa1f0ccee4f6c38f4710f44a1d50656186f3bd986de34e5, ACCEPTED_ON_L2, 1891478
0x67c5105610962b27348c65f0d6a700f011abc4f2e814b2967909c99e5504acc, ACCEPTED_ON_L2, 1891479
0x64eb3d565da71fb6c5e8328114e17ab23582d0ba34a14539ab99828af904618, ACCEPTED_ON_L2, 1891479
0x3e1bf358e2ab41e1e266fc8a1845baca1f62edfe52ce86e828adae7c48c2eac, ACCEPTED_ON_L2, 1891479
0x4bd214037ae83f168f37681e9707b527d14904f0d13119e1e0dca5ab001f952, ACCEPTED_ON_L2, 1891479
0x50c66ab1a476e8eb4f7335857ab814e7dca7948d2bfa90882eb0b80bd85f00c, ACCEPTED_ON_L2, 1891479
0x4c2943aab7ff9ab2991d1a76a864daf22272eacd52b7ed7ba6ea21d54ec33b, ACCEPTED_ON_L2, 1891480
0x701402f8e82139e162b6b19791cbcbab4e4e1ef34657b3f25ca61bfb54e779c, ACCEPTED_ON_L2, 1891480
0x6496ae9b95115e5143d5d319fdd25e91980049031ce141f6bee9842df784591, ACCEPTED_ON_L2, 1891480
0x3a53f8e829bca59ce538041d7cf04e22990dfb39965f737c0dce1c5e5eedcc7, ACCEPTED_ON_L2, 1891480
0x67d17c7946c4fce8c7b4e394ca2f2e039d784c69e783a1364993861309e848a, ACCEPTED_ON_L2, 1891480
0x139891bb287cf6c66447572b106cda0a6c9f3e743dc1ddfe420917615bec45, ACCEPTED_ON_L2, 1891481
0x298502f1cb9c79f72099a30f37444339a6c5522d7435236b97f764ac79df647, ACCEPTED_ON_L2, 1891481
0x4b351bfdc4d8ac405c77f0729853423ff4c3007870df95c44280394c284805d, ACCEPTED_ON_L2, 1891481
0x7cbd0abc1fd040bdb55960e982f722c5c592357124729a06c2a2b212f7c3381, ACCEPTED_ON_L2, 1891481
0x724ade245871355c0037d6b91ed4adc3e8f04e9d8988bec62c32c85d9ebd064, ACCEPTED_ON_L2, 1891481
